username,page,mode,gender,activity_level,path,date
c86a4a5d1f886ed8d357ce1ead4d2793799c85ae940364362cf8b30cd6c6e712,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,audit,m,over_5_hr,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
7c829ace546d4c030e81f782c7d998885d2dca1e7a54c645064feb80bffc3eb3,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/e55c5c8343cb4a4db8bd78944f9fcd1c,audit,NA,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/e55c5c8343cb4a4db8bd78944f9fcd1c,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
c86a4a5d1f886ed8d357ce1ead4d2793799c85ae940364362cf8b30cd6c6e712,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,audit,m,over_5_hr,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
c86a4a5d1f886ed8d357ce1ead4d2793799c85ae940364362cf8b30cd6c6e712,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,audit,m,over_5_hr,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,2017-04-18
c86a4a5d1f886ed8d357ce1ead4d2793799c85ae940364362cf8b30cd6c6e712,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,audit,m,over_5_hr,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,2017-04-18
