username,link,path,gender,mode,activity_level,chapter_location
bf646b4fd80330331867da2a8011fe423ecfe8fb7ee2aa001852ee61441e4ccd,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
bb967098a23df2b5709b84b0f907a234d61c07d065b3b8e9c79c03a3c83119fa,"{""target_url"": ""https://en.wikipedia.org/wiki/Amphetamine"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
bb967098a23df2b5709b84b0f907a234d61c07d065b3b8e9c79c03a3c83119fa,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
c8f98a966d2b2549219637de062c4010f71dbe0682f8f9dfe379b99fe0b0fde7,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/9f7cb071c221b85373c65243d4d3a7c4/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/Part3_Quiz3_answers_updated_Oct27_2016.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/88ebd7b2914a4e05b41174bdb11a9da9/?child=first,m,audit,30_min_to_5_hr,Part 3: Research Methods II
559315690bcb4dd20ae9568906c04bea22b0efcbf144bf8c68179421bd5d09f2,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/,m,audit,under_30_min,Part 1: What Is Psychology?
feb49766787b1e3d4465a9060a2757c1e5b443fd3b8cac78ad1a88b711179ed6,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,f,audit,under_30_min,Part 1: What Is Psychology?
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""http://www.wikihow.com/Take-Cornell-Notes"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/79881c6fdd5f442d849aeb75d28c6ca8/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/?child=first,f,audit,30_min_to_5_hr,Part 3: Research Methods II
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""https://www.verywell.com/what-is-psychology-2795604"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/79881c6fdd5f442d849aeb75d28c6ca8/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""https://quizlet.com/"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/79881c6fdd5f442d849aeb75d28c6ca8/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
