index,category,name,path,chapter_location
56,vertical,What Is Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
57,html,What Is Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
59,video,"Part 1, Lecture 1: What Is Psychology?",/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
60,html,Lecture Slides,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
61,html,Discussion Instructions,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
62,vertical,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
63,html,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/bd9c75529bb94bd2b11e3a38cd5c1be1,Part 1: What Is Psychology?
64,sequential,History of Psychology,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
65,vertical,History of Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
66,html,History of Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
68,video,"Part 1, Lecture 2: History of Psychology",/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
69,html,Lecture Slides,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
70,vertical,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
71,html,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
73,html,Instructions,/9343693e210b4e8ca7c0482fdc166d27/24aaa1a9e98e4f5da2886d222418f53e,Part 1: What Is Psychology?
77,sequential,Contemporary Psychology,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
78,vertical,Contemporary Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
79,html,Contemporary Psychology: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
81,video,"Part 1, Lecture 3: Contemporary Psychology",/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
82,html,Lecture Slides,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
83,vertical,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
84,html,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
86,html,Instructions,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,Part 1: What Is Psychology?
90,sequential,Learning Tips,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
91,vertical,Learning Tips: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
92,html,Learning Tips: Learning Goals,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
94,video,"Part 1, Lecture 4: Learning Tips",/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
95,html,Lecture Slides,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
96,vertical,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
97,html,Glossary of Terms,/9343693e210b4e8ca7c0482fdc166d27/cb3a39e734114b14840eda31b9440f71,Part 1: What Is Psychology?
